cname,iso2,iso3,year,hnum,numt1,numt2,numt3,numt4,numt5,numt6,numt7,numt8,numt9
France,fr,fra,2010,54639,7672,5838,10037,9667,6162,2443,10326,2330,164
France,fr,fra,2011,56486,7810,6005,10611,9728,6428,2455,10870,2388,191
France,fr,fra,2012,56162,7911,6244,10372,9322,6533,2405,10813,2355,207
France,fr,fra,2013,50454,7574,6095,8625,8379,5745,2199,9544,2125,168
France,fr,fra,2014,50096,7572,6132,8809,8016,5657,2258,9411,2031,210
France,fr,fra,2015,51144,7822,6342,9172,8142,5737,2365,9312,2067,185
France,fr,fra,2016,52174,8195,6562,9314,8177,5707,2456,9527,2024,212
France,fr,fra,2017,51951,8504,6767,9305,7871,5647,2401,9353,1928,175
France,fr,fra,2018,50802,8376,6891,8938,7823,5498,2398,8890,1822,166
France,fr,fra,2019,50027,8010,6876,9324,7518,5481,2350,8492,1793,183
France,fr,fra,2020,39667,6784,5398,7431,5691,4102,1870,6831,1415,145
Japan,jp,jpn,2010,6141,190,634,327,610,2324,60,1164,561,271
Japan,jp,jpn,2011,6641,207,687,398,630,2500,67,1249,609,294
Japan,jp,jpn,2012,6079,226,700,334,540,2300,53,1136,539,251
Japan,jp,jpn,2013,5594,223,703,295,498,2116,40,1005,482,232
Japan,jp,jpn,2014,5229,237,706,268,452,1956,47,894,460,209
Japan,jp,jpn,2015,4887,247,699,258,390,1856,44,772,415,206
Japan,jp,jpn,2016,4516,247,660,276,402,1674,31,674,368,184
Japan,jp,jpn,2017,4170,243,626,230,364,1591,30,589,339,158
Japan,jp,jpn,2018,6044,322,799,363,571,2203,48,1027,499,212
Japan,jp,jpn,2019,5321,314,743,308,462,2013,41,868,408,164
Japan,jp,jpn,2020,4639,294,681,289,410,1759,35,711,323,137
South Korea,kr,kor,2012,13075,742,1667,915,2003,2966,502,3213,650,417
South Korea,kr,kor,2014,12377,994,1669,995,1947,2777,440,2768,492,295
South Korea,kr,kor,2016,18497,1925,1730,2020,2338,5098,280,3757,1015,334
South Korea,kr,kor,2017,18640,2082,1876,2106,2380,5033,260,3702,893,308
South Korea,kr,kor,2018,18406,2250,1933,2163,2389,5014,239,3362,788,268
South Korea,kr,kor,2019,18064,2341,2063,2149,2281,4894,242,3143,697,254
South Korea,kr,kor,2020,18187,2485,2179,2482,2180,4791,227,2971,640,232
Sweden,se,swe,2010,16310,1550,1513,3271,2378,1889,1601,3281,800,27
Sweden,se,swe,2011,16287,1517,1614,3222,2294,1873,1556,3319,859,33
Sweden,se,swe,2012,16319,1564,1668,3206,2176,1931,1611,3273,871,19
Sweden,se,swe,2013,5800,619,941,793,1077,656,160,1272,261,21
Sweden,se,swe,2014,5859,650,929,780,1041,646,191,1330,274,18
Sweden,se,swe,2015,5787,654,936,775,982,643,195,1330,246,26
Sweden,se,swe,2016,5928,650,946,761,1004,682,201,1406,256,22
Sweden,se,swe,2017,5831,626,890,774,987,678,201,1381,273,21
Sweden,se,swe,2018,5621,667,835,898,888,583,199,1292,238,21
Sweden,se,swe,2019,5781,662,874,851,952,596,202,1345,276,23
Sweden,se,swe,2020,8889,949,1398,1369,1429,895,298,2028,486,37
United Kingdom,uk,gbr,2010,25350,3467,2613,4173,4794,2739,1763,4948,750,103
United Kingdom,uk,gbr,2011,20759,2747,2123,3421,3877,2306,1451,4098,653,83
United Kingdom,uk,gbr,2012,20196,2872,2173,3206,3574,2253,1467,3959,613,79
United Kingdom,uk,gbr,2013,20137,2911,2198,3150,3599,2228,1430,3917,613,91
United Kingdom,uk,gbr,2014,19535,2775,2290,3060,3456,2180,1280,3803,594,97
United Kingdom,uk,gbr,2015,19322,2913,2236,3181,3309,2039,1344,3702,525,73
United Kingdom,uk,gbr,2016,19380,2856,2363,3055,3323,2184,1275,3691,549,84
United Kingdom,uk,gbr,2017,19105,3022,2329,3008,3360,2193,1176,3386,534,97
United Kingdom,uk,gbr,2018,19169,3083,2412,3017,3176,2111,1208,3558,522,82
United Kingdom,uk,gbr,2019,19210,3127,2428,3006,3146,2180,1158,3531,550,84
United Kingdom,uk,gbr,2020,10007,1708,1693,1574,1687,1140,454,1477,229,45
United States,us,usa,2010,75188,6179,4304,11791,12932,9069,4981,18877,5985,1070
United States,us,usa,2011,74383,6253,4412,11587,12866,9270,5008,18192,5674,1121
United States,us,usa,2012,74821,6372,4626,11562,12859,9435,4825,18320,5659,1163
United States,us,usa,2013,51498,4449,3279,7822,8711,6712,3276,12555,3910,784
United States,us,usa,2014,74257,6937,4875,11447,12405,9601,4567,17728,5466,1231
United States,us,usa,2015,69484,6555,4650,10705,11492,9116,4434,16405,4964,1163
United States,us,usa,2016,69957,6761,4973,10646,11650,9331,4297,16145,4935,1219
United States,us,usa,2017,67909,6936,5103,10100,11177,9271,4001,15327,4770,1224
United States,us,usa,2018,68345,7128,5286,10236,11349,9459,3788,15170,4718,1211
United States,us,usa,2019,60460,6574,5261,8875,9811,8653,3237,12826,4104,1119
United States,us,usa,2020,62850,6914,5299,9410,10200,8977,3491,13234,4152,1173
