cname,iso2,rname,year,value
France,fr,pv5,2010,.3108791350737652
France,fr,pv6,2010,.3474532598532059
France,fr,pv5,2011,.3145189254657839
France,fr,pv6,2011,.3492732924405623
France,fr,pv5,2012,.319278338700132
France,fr,pv6,2012,.3540352006858343
France,fr,pv5,2013,.3155608348229055
France,fr,pv6,2013,.3498874271372472
France,fr,pv5,2014,.3196477420449361
France,fr,pv6,2014,.3527047955673028
France,fr,pv5,2015,.3239132929437656
France,fr,pv6,2015,.356084898267278
France,fr,pv5,2016,.3263673480821622
France,fr,pv6,2016,.3602063402118092
France,fr,pv5,2017,.327659985167176
France,fr,pv6,2017,.3599955435712031
France,fr,pv5,2018,.3308766713773864
France,fr,pv6,2018,.362456860716492
France,fr,pv5,2019,.3298885222389403
France,fr,pv6,2019,.362106119278426
France,fr,pv5,2020,.3299735352540631
France,fr,pv6,2020,.3613765229391999
Japan,jp,pv5,2010,.1001343517328631
Japan,jp,pv6,2010,.1550844985770909
Japan,jp,pv5,2011,.1154743309405832
Japan,jp,pv6,2011,.1703983093126464
Japan,jp,pv5,2012,.1123066173234131
Japan,jp,pv6,2012,.1729271788950278
Japan,jp,pv5,2013,.0972314263192569
Japan,jp,pv6,2013,.1462123724052904
Japan,jp,pv5,2014,.0852329670657064
Japan,jp,pv6,2014,.1329498946441811
Japan,jp,pv5,2015,.10779800185498
Japan,jp,pv6,2015,.1584473984222625
Japan,jp,pv5,2016,.1059974001608446
Japan,jp,pv6,2016,.153087785983705
Japan,jp,pv5,2017,.1077852089703261
Japan,jp,pv6,2017,.1589161963101915
Japan,jp,pv5,2018,.0983922307287865
Japan,jp,pv6,2018,.1447944072939175
France,fr,pv5,2019,.3298885222389403
France,fr,pv6,2019,.362106119278426
France,fr,pv5,2020,.3299735352540631
France,fr,pv6,2020,.3613765229391999
South Korea,kr,pv5,2012,.1820120712576681
South Korea,kr,pv6,2012,.2300950451822922
South Korea,kr,pv5,2014,.1843260440294722
South Korea,kr,pv6,2014,.2304391973879754
South Korea,kr,pv5,2016,.1792592502341843
South Korea,kr,pv6,2016,.2384399711236
South Korea,kr,pv5,2017,.1749108031457196
South Korea,kr,pv6,2017,.235317752756727
South Korea,kr,pv5,2018,.1694419767045731
South Korea,kr,pv6,2018,.2294477376856089
South Korea,kr,pv5,2019,.1696310435969358
South Korea,kr,pv6,2019,.2297920636996011
South Korea,kr,pv5,2020,.1621099316089821
South Korea,kr,pv6,2020,.2242944631575005
Sweden,se,pv5,2010,.2858699480649493
Sweden,se,pv6,2010,.318290778968596
Sweden,se,pv5,2011,.2785743126600376
Sweden,se,pv6,2011,.3128110123649118
Sweden,se,pv5,2012,.2747745603232358
Sweden,se,pv6,2012,.3079278883808794
Sweden,se,pv5,2013,.2830419494425094
Sweden,se,pv6,2013,.318304521581856
Sweden,se,pv5,2014,.2872478159810196
Sweden,se,pv6,2014,.3198212016439819
Sweden,se,pv5,2015,.2837839506876056
Sweden,se,pv6,2015,.3170600347603788
Sweden,se,pv5,2016,.2807528316304638
Sweden,se,pv6,2016,.3153862724459962
Sweden,se,pv5,2017,.2826060457487336
Sweden,se,pv6,2017,.3170733634909255
Sweden,se,pv5,2018,.2803300343729326
Sweden,se,pv6,2018,.3150223798470927
Sweden,se,pv5,2019,.2835022124799246
Sweden,se,pv6,2019,.3189581050519361
Sweden,se,pv5,2020,.2751495817805512
Sweden,se,pv6,2020,.3197351830597841
United Kingdom,uk,pv5,2010,.3113696199636024
United Kingdom,uk,pv6,2010,.346375983151664
United Kingdom,uk,pv5,2011,.3023235343958706
United Kingdom,uk,pv6,2011,.3402564757678617
United Kingdom,uk,pv5,2012,.3051755197653964
United Kingdom,uk,pv6,2012,.3446355793000979
United Kingdom,uk,pv5,2013,.2994623758810531
United Kingdom,uk,pv6,2013,.3390207424212464
United Kingdom,uk,pv5,2014,.2945036570876095
United Kingdom,uk,pv6,2014,.33716910360806
United Kingdom,uk,pv5,2015,.2953004168302375
United Kingdom,uk,pv6,2015,.333809175297532
United Kingdom,uk,pv5,2016,.2921039185899071
United Kingdom,uk,pv6,2016,.3324642482680921
United Kingdom,uk,pv5,2017,.2858801835048309
United Kingdom,uk,pv6,2017,.3291371699384372
United Kingdom,uk,pv5,2018,.2818225906176458
United Kingdom,uk,pv6,2018,.3218834013670583
United Kingdom,uk,pv5,2019,.2778221750755365
United Kingdom,uk,pv6,2019,.3193378413134979
United Kingdom,uk,pv5,2020,.2840775406884629
United Kingdom,uk,pv6,2020,.3321648830691461
United States,us,pv5,2010,.2938001390989743
United States,us,pv6,2010,.33785856661248
United States,us,pv5,2011,.2914804459863184
United States,us,pv6,2011,.3356510788799374
United States,us,pv5,2012,.2958587840217334
United States,us,pv6,2012,.3397291272339711
United States,us,pv5,2013,.2911908434286894
United States,us,pv6,2013,.3352255835969277
United States,us,pv5,2014,.2914425277526527
United States,us,pv6,2014,.3368399216368694
United States,us,pv5,2015,.2905299033685629
United States,us,pv6,2015,.3342971507169761
United States,us,pv5,2016,.2866251937226045
United States,us,pv6,2016,.333265470004898
United States,us,pv5,2017,.2857422299392007
United States,us,pv6,2017,.3310843645392059
United States,us,pv5,2018,.2773146002901544
United States,us,pv6,2018,.3238632484175772
United States,us,pv5,2019,.2734410102071791
United States,us,pv6,2019,.3211166905375531
United States,us,pv5,2020,.2853450923635809
United States,us,pv6,2020,.3302588296165064
