year,ginit,ginim,ginit1,ginim1,ginit5,ginim5,cim1t,cim5t,cim1m,cim5m
2008,.383927455712947 ,.4299320906337768 ,.4045847196522085 ,.4797606318993098 ,.4089911388264517 ,.4828909604850873 ,.1507446103987566 ,.1492196406466929 ,.1355997452678156 ,.1346433446666515
2009,.381565246691689 ,.4265295991584911 ,.4041014953829694 ,.4783282158531948 ,.4098532538839148 ,.4822619816384471 ,.1194420893973952 ,.1285607973334126 ,.1089078296600749 ,.1165459154262726
2010,.35962010661043 ,.406206440460995 ,.3844206207468785 ,.4628263857623249 ,.392183361109543 ,.4678353263761299 ,.0972980408558646 ,.1128146511179883 ,.0846225324637322 ,.0997457785805963
2011,.3659442522559799 ,.4121958942904139 ,.3890577545844406 ,.4690247522242534 ,.3965919256613569 ,.4739351840650061 ,.1184732517325309 ,.1262862449781378 ,.1034068742263311 ,.1133399083453412
2012,.3692383285224861 ,.4156078347775155 ,.3917918775485719 ,.4721194536580544 ,.3982754887316988 ,.476493490514599 ,.1152083960747111 ,.1207121633984891 ,.097382344568056 ,.1043758975696771
2013,.3652849690884372 ,.4163243485030942 ,.388156446125573 ,.4737795007901406 ,.3947228500446889 ,.4783971973604885 ,.0967713841978069 ,.1111857991143518 ,.0800072012089157 ,.0945963246019371
2014,.3675737556207552 ,.4234480650966102 ,.3903567990482592 ,.4825565415176021 ,.3969615882518556 ,.4872691361128797 ,.0901625911863383 ,.1193136313543628 ,.0692571768650259 ,.1011431379566501
2015,.3696718806752035 ,.4305875815900806 ,.3935016734195064 ,.4911109609995166 ,.4009337592960054 ,.4963468568039413 ,.1003414541609063 ,.1134352419335345 ,.0810610262354755 ,.0947732008776786
2016,.3590802958653709 ,.4201555792072291 ,.3798738397185565 ,.4789574935659196 ,.385443971620423 ,.4830588161600026 ,.1210732404663765 ,.1472603917515476 ,.1067651473408738 ,.1334676247197799
2017,.3549606961872424 ,.4173558101971152 ,.3760157759614077 ,.4768993958189446 ,.382518053221171 ,.4818815630154201 ,.118168959191525 ,.1403688822715302 ,.1034792540404339 ,.1242262662677112
